timestamp=2026-09-14 14:03:04 source_ip=192.168.1.10 destination_ip=192.168.1.1 dns_query=p7x2m9k4d8s6w1z3.example.com query_type=AAAA subdomain=p7x2m9k4d8s6w1z3 length=16 entropy=3.875 frequency=10 risk_score=90 status=POSSIBLE_SUSPICIOUS_DNS
timestamp=2026-09-14 16:25:46 source_ip=fe80::9d87:467d:3747:10b0 destination_ip=fe80::4b5:b2ff:fe5b:ef64 dns_query=x9k7m2p8q4s6d1.example.com query_type=A subdomain=x9k7m2p8q4s6d1 length=14 entropy=3.807 frequency=5 risk_score=50 status=POSSIBLE_SUSPICIOUS_DNS
timestamp=2026-09-14 16:25:46 source_ip=fe80::9d87:467d:3747:10b0 destination_ip=fe80::4b5:b2ff:fe5b:ef64 dns_query=x9k7m2p8q4s6d1.example.com query_type=AAAA subdomain=x9k7m2p8q4s6d1 length=14 entropy=3.807 frequency=6 risk_score=50 status=POSSIBLE_SUSPICIOUS_DNS
timestamp=2026-09-14 16:25:46 source_ip=fe80::9d87:467d:3747:10b0 destination_ip=fe80::4b5:b2ff:fe5b:ef64 dns_query=x9k7m2p8q4s6d1.example.com query_type=A subdomain=x9k7m2p8q4s6d1 length=14 entropy=3.807 frequency=7 risk_score=50 status=POSSIBLE_SUSPICIOUS_DNS
timestamp=2026-09-14 16:25:47 source_ip=fe80::9d87:467d:3747:10b0 destination_ip=fe80::4b5:b2ff:fe5b:ef64 dns_query=x9k7m2p8q4s6d1.example.com query_type=AAAA subdomain=x9k7m2p8q4s6d1 length=14 entropy=3.807 frequency=8 risk_score=50 status=POSSIBLE_SUSPICIOUS_DNS
timestamp=2026-09-14 16:25:49 source_ip=fe80::9d87:467d:3747:10b0 destination_ip=fe80::4b5:b2ff:fe5b:ef64 dns_query=x9k7m2p8q4s6d1.example.com query_type=A subdomain=x9k7m2p8q4s6d1 length=14 entropy=3.807 frequency=9 risk_score=50 status=POSSIBLE_SUSPICIOUS_DNS
timestamp=2026-09-14 16:25:49 source_ip=fe80::9d87:467d:3747:10b0 destination_ip=fe80::4b5:b2ff:fe5b:ef64 dns_query=x9k7m2p8q4s6d1.example.com query_type=AAAA subdomain=x9k7m2p8q4s6d1 length=14 entropy=3.807 frequency=10 risk_score=65 status=POSSIBLE_SUSPICIOUS_DNS
timestamp=2026-09-14 16:25:50 source_ip=fe80::9d87:467d:3747:10b0 destination_ip=fe80::4b5:b2ff:fe5b:ef64 dns_query=x9k7m2p8q4s6d1.example.com query_type=A subdomain=x9k7m2p8q4s6d1 length=14 entropy=3.807 frequency=11 risk_score=65 status=POSSIBLE_SUSPICIOUS_DNS
timestamp=2026-09-14 16:25:50 source_ip=fe80::9d87:467d:3747:10b0 destination_ip=fe80::4b5:b2ff:fe5b:ef64 dns_query=x9k7m2p8q4s6d1.example.com query_type=AAAA subdomain=x9k7m2p8q4s6d1 length=14 entropy=3.807 frequency=12 risk_score=65 status=POSSIBLE_SUSPICIOUS_DNS
timestamp=2026-09-14 16:25:51 source_ip=fe80::9d87:467d:3747:10b0 destination_ip=fe80::4b5:b2ff:fe5b:ef64 dns_query=x9k7m2p8q4s6d1.example.com query_type=A subdomain=x9k7m2p8q4s6d1 length=14 entropy=3.807 frequency=13 risk_score=65 status=POSSIBLE_SUSPICIOUS_DNS
timestamp=2026-09-14 16:25:51 source_ip=fe80::9d87:467d:3747:10b0 destination_ip=fe80::4b5:b2ff:fe5b:ef64 dns_query=x9k7m2p8q4s6d1.example.com query_type=AAAA subdomain=x9k7m2p8q4s6d1 length=14 entropy=3.807 frequency=14 risk_score=65 status=POSSIBLE_SUSPICIOUS_DNS
